titre,url_fiche,annee_sortie,id_imdb,id_moviedb_final,budget
Walter,https://www.imdb.com/title/tt9680064/?ref_=adv_li_tt,2019,tt9680064,579298,0
J'irai où tu iras,https://www.imdb.com/title/tt10533078/?ref_=adv_li_tt,2019,tt10533078,589985,0
A coeur battant,https://www.imdb.com/title/tt10850214/?ref_=adv_li_tt,2019,tt10850214,618206,0
Merveilles à Montfermeil,https://www.imdb.com/title/tt8506714/?ref_=adv_li_tt,2019,tt8506714,592566,0
L'esprit de famille,https://www.imdb.com/title/tt8699286/?ref_=adv_li_tt,2019,tt8699286,613361,0
Un vrai bonhomme,https://www.imdb.com/title/tt9172490/?ref_=adv_li_tt,2019,tt9172490,544398,0
Qui m'aime me suive!,https://www.imdb.com/title/tt7654880/?ref_=adv_li_tt,2019,tt7654880,575600,0
Entre deux trains,https://www.imdb.com/title/tt9133200/?ref_=adv_li_tt,2019,tt9133200,-,-
Sun,https://www.imdb.com/title/tt7388274/?ref_=adv_li_tt,2019,tt7388274,544334,0
Les Vétos,https://www.imdb.com/title/tt9041586/?ref_=adv_li_tt,2019,tt9041586,613348,0
Le Voyage du Prince,https://www.imdb.com/title/tt9144838/?ref_=adv_li_tt,2019,tt9144838,575557,4200000
Black Snake: La légende du serpent noir,https://www.imdb.com/title/tt7936092/?ref_=adv_li_tt,2019,tt7936092,553478,0
"Tanguy, le retour",https://www.imdb.com/title/tt9235038/?ref_=adv_li_tt,2019,tt9235038,528773,0
French Touch: Between Men,https://www.imdb.com/title/tt10887468/?ref_=adv_li_tt,2019,tt10887468,599158,0
Fourmi,https://www.imdb.com/title/tt9767556/?ref_=adv_li_tt,2019,tt9767556,589181,0
Just Kids,https://www.imdb.com/title/tt9170112/?ref_=adv_li_tt,2019,tt9170112,706568,0
Je ne rêve que de vous,https://www.imdb.com/title/tt9079080/?ref_=adv_li_tt,2019,tt9079080,651838,0
Poissonsexe,https://www.imdb.com/title/tt9164788/?ref_=adv_li_tt,2019,tt9164788,592782,0
Le Réseau Shelburn,https://www.imdb.com/title/tt11046384/?ref_=adv_li_tt,2019,tt11046384,656550,0
Ni une ni deux,https://www.imdb.com/title/tt8214204/?ref_=adv_li_tt,2019,tt8214204,590986,0
Roxane,https://www.imdb.com/title/tt9096148/?ref_=adv_li_tt,2019,tt9096148,602283,0
French Touch: Girls of Summer,https://www.imdb.com/title/tt10886246/?ref_=adv_li_tt,2019,tt10886246,626966,0
Douze Mille,https://www.imdb.com/title/tt9345778/?ref_=adv_li_tt,2019,tt9345778,616214,0
Le Voyage de Marta,https://www.imdb.com/title/tt8185374/?ref_=adv_li_tt,2019,tt8185374,577055,0
Premier de la classe,https://www.imdb.com/title/tt10143114/?ref_=adv_li_tt,2019,tt10143114,605015,0
La forêt de mon père,https://www.imdb.com/title/tt9348752/?ref_=adv_li_tt,2019,tt9348752,654862,0
Quand on crie au loup,https://www.imdb.com/title/tt8871394/?ref_=adv_li_tt,2019,tt8871394,550473,0
Flying Guy,https://www.imdb.com/title/tt8253030/?ref_=adv_li_tt,2019,tt8253030,-,-
Andy,https://www.imdb.com/title/tt8956156/?ref_=adv_li_tt,2019,tt8956156,611241,0
Je promets d'être sage,https://www.imdb.com/title/tt9041234/?ref_=adv_li_tt,2019,tt9041234,534371,0
Rêves de Jeunesse,https://www.imdb.com/title/tt10415798/?ref_=adv_li_tt,2019,tt10415798,597691,0
Le choc du futur,https://www.imdb.com/title/tt8081326/?ref_=adv_li_tt,2019,tt8081326,603158,0
Les envoûtés,https://www.imdb.com/title/tt7725374/?ref_=adv_li_tt,2019,tt7725374,633187,0
Salauds de pauvres,https://www.imdb.com/title/tt8802706/?ref_=adv_li_tt,2019,tt8802706,589311,0
Les Petits Flocons,https://www.imdb.com/title/tt8020648/?ref_=adv_li_tt,2019,tt8020648,568401,0
Libertins,https://www.imdb.com/title/tt10278136/?ref_=adv_li_tt,2019,tt10278136,603159,0
Exfiltrés,https://www.imdb.com/title/tt6100286/?ref_=adv_li_tt,2019,tt6100286,579273,0
Notre-Dame du Nil,https://www.imdb.com/title/tt8690948/?ref_=adv_li_tt,2019,tt8690948,582877,0
La Source,https://www.imdb.com/title/tt10492618/?ref_=adv_li_tt,2019,tt10492618,608954,0
Escort Boy,https://www.imdb.com/title/tt10602774/?ref_=adv_li_tt,2019,tt10602774,643443,0
Ma nudité ne sert à rien,https://www.imdb.com/title/tt10065750/?ref_=adv_li_tt,2019,tt10065750,575849,0
La vertu des impondérables,https://www.imdb.com/title/tt10356734/?ref_=adv_li_tt,2019,tt10356734,715313,0
Convergent,https://www.imdb.com/title/tt9216382/?ref_=adv_li_tt,2019,tt9216382,581456,0
La vérité si je mens! Les débuts,https://www.imdb.com/title/tt9372116/?ref_=adv_li_tt,2019,tt9372116,589980,0
The Darkest,https://www.imdb.com/title/tt6989180/?ref_=adv_li_tt,2019,tt6989180,510883,0
Un café sans musique c'est rare à Paris,https://www.imdb.com/title/tt4371428/?ref_=adv_li_tt,2019,tt4371428,565410,0
Place des victoires,https://www.imdb.com/title/tt8431314/?ref_=adv_li_tt,2019,tt8431314,617296,0
L'échappée,https://www.imdb.com/title/tt7087306/?ref_=adv_li_tt,2019,tt7087306,483698,0
Victor & Célia,https://www.imdb.com/title/tt9112776/?ref_=adv_li_tt,2019,tt9112776,589230,0
